2023-07-12 14:12:43,986 [INFO]: OSManager has connected
2023-07-12 14:12:43,990 [INFO]: [ConsoleMenu] has initialized
2023-07-12 14:12:47,522 [INFO]: [OSManager]: Try to clear directory .\data\logs
2023-07-12 14:12:47,526 [INFO]: [OSManager]: .\data\logs\11-07-2023, 22-06-56.log was removed
2023-07-12 14:12:47,526 [INFO]: [OSManager]: .\data\logs\11-07-2023, 22-08-15.log was removed
2023-07-12 14:12:47,526 [INFO]: [OSManager]: .\data\logs\11-07-2023, 22-22-07.log was removed
2023-07-12 14:12:47,527 [INFO]: [OSManager]: .\data\logs\11-07-2023, 22-37-52.log was removed
2023-07-12 14:12:47,529 [INFO]: [OSManager]: .\data\logs\11-07-2023, 23-56-26.log was removed
2023-07-12 14:12:47,529 [INFO]: [OSManager]: .\data\logs\11-07-2023, 23-59-05.log was removed
2023-07-12 14:12:47,530 [INFO]: [OSManager]: .\data\logs\12-07-2023, 00-01-10.log was removed
2023-07-12 14:12:47,531 [INFO]: [OSManager]: .\data\logs\12-07-2023, 00-40-07.log was removed
2023-07-12 14:12:47,531 [INFO]: [OSManager]: .\data\logs\12-07-2023, 00-41-02.log was removed
2023-07-12 14:12:47,533 [INFO]: [OSManager]: .\data\logs\12-07-2023, 00-41-31.log was removed
2023-07-12 14:12:47,533 [INFO]: [OSManager]: .\data\logs\12-07-2023, 00-41-46.log was removed
2023-07-12 14:12:47,533 [INFO]: [OSManager]: .\data\logs\12-07-2023, 00-45-22.log was removed
2023-07-12 14:12:47,534 [INFO]: [OSManager]: .\data\logs\12-07-2023, 00-45-52.log was removed
2023-07-12 14:12:47,534 [INFO]: [OSManager]: .\data\logs\12-07-2023, 00-46-43.log was removed
2023-07-12 14:12:47,535 [INFO]: [OSManager]: .\data\logs\12-07-2023, 00-46-59.log was removed
2023-07-12 14:12:47,536 [INFO]: [OSManager]: .\data\logs\12-07-2023, 00-47-55.log was removed
2023-07-12 14:12:47,536 [INFO]: [OSManager]: .\data\logs\12-07-2023, 00-48-07.log was removed
2023-07-12 14:12:47,537 [INFO]: [OSManager]: .\data\logs\12-07-2023, 00-51-35.log was removed
2023-07-12 14:12:47,538 [INFO]: [OSManager]: .\data\logs\12-07-2023, 00-55-06.log was removed
2023-07-12 14:12:47,538 [INFO]: [OSManager]: .\data\logs\12-07-2023, 00-56-21.log was removed
2023-07-12 14:12:47,539 [INFO]: [OSManager]: .\data\logs\12-07-2023, 02-04-05.log was removed
2023-07-12 14:12:47,539 [INFO]: [OSManager]: .\data\logs\12-07-2023, 02-04-43.log was removed
2023-07-12 14:12:47,540 [INFO]: [OSManager]: .\data\logs\12-07-2023, 02-05-57.log was removed
